BLOQUES,DIPUTADOS,"",P,A,L,M.O
Frente Cívico por Santiago,"ABDALA DE MATARAZZO, Norma Amanda","",8,"",2,""
Frente para la Victoria - PJ,"ABRAHAM, Alejandro","",10,"","",""
Unión PRO,"ACERENZA, Samanta María Celeste","",10,"","",""
Unión Cívica Radical,"ALBORNOZ, Gabriela Romina Observación: INCORPORADA EL 01/03/16.","",9,"","",""
"Federal Unidos por una NuevaArgentina","ALEGRE, Gilberto Oscar","",10,"","",""
Unión Cívica Radical,"ALFONSÍN, Ricardo","",10,"","",""
"Federal Unidos por una NuevaArgentina","ALONSO, Horacio Fernando Observación: INCORPORADO EL 01/03/16.","",9,"","",""
Frente para la Victoria - PJ,"ÁLVAREZ RODRIGUEZ, María Cristina","",9,"","",1
Unión PRO,"AMADEO, Eduardo Pablo","",9,"",1,""
Compromiso Federal,"ARENAS, Berta Hortensia","",9,1,"",""
Proyecto Sur,"ARGUMEDO, Alcira Susana","",10,"","",""
Frente para la Victoria - PJ,"ARRIETA, Gustavo Héctor Observación: INCORPORADO EL 15/03/16.","",7,1,"",""
Unión Cívica Radical,"AUSTIN, Brenda Lis Observación: INCORPORADA EL 18/05/16","",5,"","",""
Unión PRO,"BALBO, Elva Susana","",9,"",1,""
Unión PRO,"BALDASSI, Héctor Walter","",10,"","",""
Unión Cívica Radical,"BANFI, Karina Veronica","",10,"","",""
Frente para la Victoria - PJ,"BARDEGGIA, Luis María","",10,"","",""
Unión Cívica Radical,"BARLETTA, Mario Domingo","",9,1,"",""
Frente para la Victoria - PJ,"BARRETO, Jorge Rubén","",9,1,"",""
Frente para la Victoria - PJ,"BASTERRA, Luis Eugenio","",10,"","",""
Unión Cívica Radical,"BAZZE, Miguel Ángel","",10,"","",""
Trabajo y Dignidad,"BERMEJO, Sixto Osvaldo Observación: INCORPORADO EL 01/03/16.","",8,1,"",""
BG Juan B. Bustos,"BERNABEY, Ramón Ernesto","",7,3,"",""
Unión PRO,"BESADA, Alicia Irma Observación: INCORPORADA EL 01/03/16.","",9,"","",""
"Federal Unidos por una NuevaArgentina","BEVILACQUA, Gustavo","",10,"","",""
Compromiso Federal,"BIANCHI, Ivana María","",9,"",1,""
Partido Socialista,"BINNER, Hermes Juan","",10,"","",""
Unión Cívica Radical,"BORSANI, Luis Gustavo","",10,"","",""
Justicialista,"BOSSIO, Diego Luis","",10,"","",""
PTS - Frente de Izquierda,"BREGMAN, Myriam Teresa","",9,1,"",""
Unidos por una Nueva Argentina,"BREZZO, María Eugenia Observación: INCORPORADA EL 01/03/16.","",9,"","",""
Frente para la Victoria - PJ,"BRITEZ, María Cristina","",10,"","",""
"Fte. Cívico y Social deCatamarca","BRIZUELA DEL MORAL, Eduardo Segundo","",9,"",1,""
Unidos por una Nueva Argentina,"BRÜGGE, Juan Fernando Observación: INCORPORADO EL 01/03/16.","",9,"","",""
Unión PRO,"BUIL, Sergio Omar","",8,1,1,""
Unión Cívica Radical,"BURGOS, María Gabriela","",10,"","",""
Frente para la Victoria - PJ,"CABANDIÉ, Juan","",10,"","",""
Unión PRO,"CÁCERES, Eduardo Augusto","",10,"","",""
Unidos por una Nueva Argentina,"CALLERI, Agustín Santiago Observación: INCORPORADO EL 01/03/16.","",8,1,"",""
"Federal Unidos por una NuevaArgentina","CAMAÑO, Graciela","",9,1,"",""
Peronismo para la Victoria,"CARLOTTO, Remo Gerardo","",8,2,"",""
Frente para la Victoria - PJ,"CARMONA, Guillermo Ramón","",10,"","",""
Frente para la Victoria - PJ,"CAROL, Analuz Ailén","",9,"",1,""
Coalición Cívica,"CARRIÓ, Elisa María Avelina","",9,"",1,""
Frente para la Victoria - PJ,"CARRIZO, Nilda Mabel","",10,"","",""
Unión Cívica Radical,"CARRIZO, María Soledad","",10,"","",""
Unión Cívica Radical,"CARRIZO, Ana Carla","",10,"","",""
Del Bicentenario,"CASAÑAS, Juan Francisco","",9,1,"",""
Partido Bloquista de San Juan,"CASELLES, Graciela María","",8,"",2,""
Frente para la Victoria - PJ,"CASTAGNETO, Carlos Daniel","",10,"","",""
Frente para la Victoria - PJ,"CASTRO, Sandra Daniela","",10,"","",""
Juntos por Argentina,"CAVIGLIA, Franco Agustín Observación: - Incorporado el 15/03/16 -","",6,"",2,""
Frente para la Victoria - PJ,"CIAMPINI, José Alberto","",10,"","",""
Partido Socialista,"CICILIANI, Alicia Mabel","",7,2,1,""
Frente para la Victoria - PJ,"CIGOGNA, Luis Francisco Jorge","",10,"","",""
Frente para la Victoria - PJ,"CLERI, Marcos","",10,"","",""
"B. del Frente de la ConcordiaMisionero","CLOSS, Maurice Fabian","",8,2,"",""
Unión PRO,"CONESA, Eduardo Raúl Observación: INCORPORADO EL 01/03/16.","",9,"","",""
Frente para la Victoria - PJ,"CONTI, Diana Beatriz","",10,"","",""
Partido Demócrata Progresista,"COPES, Ana Isabel Observación: INCORPORADA EL 01/03/16.","",9,"","",""
Unión Cívica Radical,"COSTA, Eduardo Raúl","",10,"","",""
Libres del Sur,"COUSINET, Graciela Observación: INCORPORADA EL 01/03/16.","",8,1,"",""
Unión por Entre Ríos,"CREMER DE BUSTI, María Cristina","",10,"","",""
Unión Cívica Radical,"D'AGOSTINO, Jorge Marcelo","",10,"","",""
"Federal Unidos por una NuevaArgentina","DAER, Héctor Ricardo","",9,1,"",""
Justicialista,"DAVID, Néstor Javier","",10,"","",""
"Federal Unidos por una NuevaArgentina","DE MENDIGUREN, José Ignacio","",10,"","",""
Frente para la Victoria - PJ,"DE PEDRO, Eduardo Enrique","",10,"","",""
Peronismo para la Victoria,"DE PONTI, Lucila María","",9,1,"",""
Frente para la Victoria - PJ,"DE VIDO, Julio","",8,2,"",""
Frente para la Victoria - PJ,"DEPETRI, Edgardo Fernando","",10,"","",""
Frente para la Victoria - PJ,"DI STÉFANO, Daniel","",9,1,"",""
Frente para la Victoria - PJ,"di TULLIO, Juliana","",8,2,"",""
Frente para la Victoria - PJ,"DIAZ ROIG, Juan Carlos","",9,1,"",""
Unión Cívica Radical,"DINDART, Julián","",8,2,"",""
Frente para la Victoria - PJ,"DOÑATE, Claudio Martín","",9,1,"",""
Libres del Sur,"DONDA PÉREZ, Victoria Analía","",10,"","",""
Unión PRO,"DURAND CORNEJO, Guillermo Mario","",10,"","",""
Partido Socialista,"DURÉ, Lucila Beatriz Observación: INCORPORADA EL 01/03/16.","",9,"","",""
Unión Cívica Radical,"ECHEGARAY, Alejandro Carlos Augusto","",10,"","",""
"Federal Unidos por una NuevaArgentina","EHCOSOR, María Azucena","",10,"","",""
Frente para la Victoria - PJ,"ESTEVEZ, Gabriela Beatriz","",10,"","",""
Juntos por Argentina,"FABIANI, Eduardo Alberto","",8,2,"",""
Justicialista,"FERNÁNDEZ MENDÍA, Gustavo Rodolfo","",10,"","",""
Peronismo para la Victoria,"FERREYRA, Araceli Susana Del Rosario","",9,"","",1
Frente para la Victoria - PJ,"FRANA, Silvina Patricia","",8,"",2,""
"B. del Frente de la ConcordiaMisionero","FRANCO, Jorge Daniel","",8,"",2,""
Frente para la Victoria - PJ,"FURLAN, Francisco Abel","",9,1,"",""
Frente para la Victoria - PJ,"GAILLARD, Ana Carolina","",9,"","",1
Frente para la Victoria - PJ,"GALLARDO, Miriam Graciela del Valle","",10,"","",""
Frente para la Victoria - PJ,"GARCÍA, María Teresa","",10,"","",""
Frente para la Victoria - PJ,"GARRÉ, Nilda Celia","",10,"","",""
Unión PRO,"GARRETÓN, Facundo","",10,"","",""
Unión PRO,"GAYOL, Yanina Celeste","",10,"","",""
Frente para la Victoria - PJ,"GERVASONI, Lautaro","",9,1,"",""
Unión Cívica Radical,"GIMÉNEZ, Patricia Viviana","",10,"","",""
Frente para la Victoria - PJ,"GIOJA, José Luis","",10,"","",""
Juntos por Argentina,"GIUSTOZZI, Rubén Darío","",10,"","",""
Unión Cívica Radical,"GOICOECHEA, Horacio","",10,"","",""
Frente para la Victoria - PJ,"GOMEZ BULL, Mauricio Ricardo","",9,1,"",""
Frente para la Victoria - PJ,"GONZÁLEZ, Josefina Victoria","",10,"","",""
Unión PRO,"GONZÁLEZ, Gladys Esther","",10,"","",""
Unión PRO,"GONZÁLEZ, Álvaro Gustavo","",9,"",1,""
Frente para la Victoria - PJ,"GRANA, Adrián Eduardo","",10,"","",""
Frente para la Victoria - PJ,"GRANADOS, Dulce","",7,3,"",""
"Federal Unidos por una NuevaArgentina","GRANDINETTI, Alejandro Ariel","",8,2,"",""
Peronismo para la Victoria,"GROSSO, Leonardo","",9,1,"",""
Frente para la Victoria - PJ,"GUERIN, María Isabel","",10,"","",""
Unión Cívica Radical,"GUTIERREZ, Héctor María","",10,"","",""
Juntos por Argentina,"GUZMÁN, Sandro Adrián","",10,"","",""
Peronismo para la Victoria,"GUZMÁN, Andrés Ernesto Observación: INCORPORADO EL 01/03/16.","",8,1,"",""
Solidario SI,"HELLER, Carlos Salomón","",10,"","",""
Unión Cívica Radical,"HERNÁNDEZ, Martín Osvaldo","",10,"","",""
Justicialista,"HERRERA, Luis Beder","",4,"",6,""
Frente Cívico por Santiago,"HERRERA, José Alberto","",7,"",3,""
Unión PRO,"HERS CABRAL, Anabella Ruth","",10,"","",""
Peronismo para la Victoria,"HORNE, Silvia Renee Observación: INCORPORADA EL 01/03/16.","",8,1,"",""
Unión PRO,"HUCZAK, Stella Maris Observación: INCORPORADA EL 01/03/16.","",9,"","",""
Frente para la Victoria - PJ,"HUSS, Juan Manuel","",10,"","",""
Frente para la Victoria - PJ,"IGON, Santiago Nicolás","",10,"","",""
Unión PRO,"INCICCO, Lucas Ciriaco","",10,"","",""
Justicialista,"ISA, Evita Nélida","",3,"",7,""
"Fte. Cívico y Social deCatamarca","JUÁREZ, Myrian del Valle","",10,"","",""
Frente Cívico por Santiago,"JUÁREZ, Manuel Humberto","",8,"",2,""
Frente para la Victoria - PJ,"KICILLOF, Axel","",10,"","",""
Frente para la Victoria - PJ,"KIRCHNER, Máximo Carlos","",7,3,"",""
Justicialista,"KOSINER, Pablo Francisco Juan","",9,"",1,""
Unión Cívica Radical,"KRONEBERGER, Daniel Ricardo","",10,"","",""
Frente para la Victoria - PJ,"KUNKEL, Carlos Miguel","",10,"","",""
Trabajo y Dignidad,"LAGORIA, Elia Nelly","",9,1,"",""
Frente para la Victoria - PJ,"LARROQUE, Andrés","",10,"","",""
Unión PRO,"LASPINA, Luciano Andrés","",10,"","",""
"Federal Unidos por una NuevaArgentina","LAVAGNA, Marco","",10,"","",""
Unión PRO,"LIPOVETZKY, Daniel Andrés","",10,"","",""
"Federal Unidos por una NuevaArgentina","LITZA, Mónica Edith Observación: INCORPORADA EL 01/03/16.","",9,"","",""
Frente para la Victoria - PJ,"LLANOS, Ana","",10,"","",""
Unión PRO,"LOPARDO, María Paula","",9,"","",""
"Fte. de Izquierda y de losTrabajadores","LÓPEZ, Pablo Sebastián","",9,1,"",""
Unión PRO,"LÓPEZ KOENIG, Leandro Gastón","",10,"","",""
Unión PRO,"LOSPENNATO, Silvia Gabriela","",10,"","",""
Frente para la Victoria - PJ,"LOTTO, Inés Beatriz","",9,"",1,""
Compromiso Federal,"LUSQUIÑOS, Luis Bernardo Observación: INCORPORADO EL 01/03/16.","",8,"","",1
Justicialista,"MACÍAS, Oscar Alberto","",9,"",1,""
Justicialista,"MADERA, Teresita","",10,"","",""
Unión PRO,"MAQUIEYRA, Martín Observación: INCORPORADO EL 01/03/16.","",9,"","",""
Unión Cívica Radical,"MARCUCCI, Hugo María","",9,"",1,""
Unión PRO,"MARTÍNEZ, Soledad","",10,"","",""
Unión Cívica Radical,"MARTÍNEZ, Silvia Alejandra","",10,"","",""
Movimiento Solidario Popular,"MARTÍNEZ, Oscar Anselmo","",8,2,"",""
Frente para la Victoria - PJ,"MARTÍNEZ, Norman Darío Observación: INCORPORADO EL 01/03/16.","",8,"",1,""
Unión PRO,"MARTÍNEZ, Ana Laura","",10,"","",""
Justicialista,"MARTÍNEZ CAMPOS, Gustavo José","",10,"","",""
Coalición Cívica,"MARTÍNEZ VILLADA, Leonor María","",10,"","",""
Frente para la Victoria - PJ,"MASIN, María Lucila","",9,1,"",""
"Federal Unidos por una NuevaArgentina","MASSA, Sergio Tomás","",9,1,"",""
"Federal Unidos por una NuevaArgentina","MASSETANI, Vanesa Laura","",9,1,"",""
Libres del Sur,"MASSO, Federico Augusto Observación: INCORPORADO EL 01/03/16.","",9,"","",""
Unión PRO,"MASSOT, Nicolás María","",10,"","",""
Frente para la Victoria - PJ,"MAZURE, Liliana Amalia","",10,"","",""
Frente para la Victoria - PJ,"MENDOZA, Sandra Marcela","",8,1,1,""
Frente para la Victoria - PJ,"MENDOZA, Mayra Soledad","",10,"","",""
Frente para la Victoria - PJ,"MERCADO, Verónica Elizabeth","",10,"","",""
Unión Cívica Radical,"MESTRE, Diego Matías","",10,"","",""
Justicialista,"MIRANDA, Pedro Rubén","",10,"","",""
Unión PRO,"MOLINA, Karina Alejandra","",10,"","",""
Unión Cívica Radical,"MONFORT, Marcelo Alejandro","",10,"","",""
Unión PRO,"MONZÓ, Emilio","",10,"","",""
"Federal Unidos por una NuevaArgentina","MORALES, Mariana Elizabet","",10,"","",""
"Federal Unidos por una NuevaArgentina","MOREAU, Cecilia","",10,"","",""
Frente para la Victoria - PJ,"MORENO, Carlos Julio","",10,"","",""
"Federal Unidos por una NuevaArgentina","MOYANO, Juan Facundo","",10,"","",""
Unión Cívica Radical,"NANNI, Miguel","",10,"","",""
Frente Cívico por Santiago,"NAVARRO, Graciela","",8,"",2,""
Unidos por una Nueva Argentina,"NAZARIO, Adriana Mónica","",10,"","",""
Unión Cívica Radical,"NEGRI, Mario Raúl","",10,"","",""
Unión PRO,"NUÑEZ, José Carlos","",9,1,"",""
Frente Cívico por Santiago,"OLIVA, Cristian Rodolfo","",5,"",5,""
Unión Cívica Radical,"OLIVARES, Héctor Enrique","",9,"",1,""
Salta Somos Todos,"OLMEDO, Alfredo Horacio","",8,2,"",""
Primero Tucumán,"ORELLANA, José Fernando","",9,"",1,""
"Federal Unidos por una NuevaArgentina","PASSO, Marcela Fabiana","",9,1,"",""
Unión Cívica Radical,"PASTORI, Luis Mario","",10,"","",""
Frente Cívico por Santiago,"PASTORIZA, Mirta Ameliana","",8,"",2,""
Unión PRO,"PATIÑO, José Luis Observación: INCORPORADO EL 01/03/16.","",9,"","",""
Frente para la Victoria - PJ,"PEDRINI, Juan Manuel","",10,"","",""
Compromiso con San Juan,"PEÑALOZA MARIANETTI, Marìa Florencia Observación: INCORPORADA EL 1°/06/16.","",4,"","",""
Concertación FORJA,"PEREYRA, Juan Manuel","",10,"","",""
"Federal Unidos por una NuevaArgentina","PÉREZ, Raúl Joaquín","",10,"","",""
Frente para la Victoria - PJ,"PÉREZ, Martín Alejandro","",8,2,"",""
Unión Cívica Radical,"PETRI, Luis Alfonso","",9,1,"",""
"Federal Unidos por una NuevaArgentina","PITIOT, Carla Betina","",10,"","",""
"Fte. de Izquierda y de losTrabajadores","PITROLA, Néstor Antonio","",9,1,"",""
"Cultura, Educación y Trabajo","PLAINI, Francisco Omar","",10,"","",""
Avanzar San Luis,"POGGI, Claudio Javier","",8,"",2,""
Unión PRO,"PRETTO, Pedro Javier","",9,1,"",""
"Fte. Cívico y Social deCatamarca","QUINTAR, Amado","",4,"",6,""
Frente para la Victoria - PJ,"RACH QUIROGA, Analía Alexandra","",9,"",1,""
Diálogo y Trabajo,"RAFFO, Julio César Observación: JURÓ EL 01/03/16. INCORPORADO EL08/03/16.","",8,"",1,""
Frente para la Victoria - PJ,"RAMOS, Alejandro Ariel","",10,"","",""
Frente para la Victoria - PJ,"RAVERTA, María Fernanda","",10,"","",""
Frente para la Victoria - PJ,"RECALDE, Héctor Pedro","",10,"","",""
Unión Cívica Radical,"RICCARDO, José Luis","",9,"","",1
"B. del Frente de la ConcordiaMisionero","RISKO, Silvia Lucrecia","",6,"",4,""
Unión Cívica Radical,"RISTA, Olga María","",10,"","",""
Justicialista,"ROBERTI, Alberto Oscar","",6,4,"",""
Frente para la Victoria - PJ,"RODRIGUEZ, Rodrigo Martín","",4,6,"",""
Frente para la Victoria - PJ,"RODRIGUEZ, Matías David","",10,"","",""
Unión PRO,"ROMA, Carlos Gastón","",10,"","",""
Justicialista,"ROMERO, Oscar Alberto","",10,"","",""
Unión Cívica Radical,"ROQUEL, Héctor Alberto","",10,"","",""
Unidos por una Nueva Argentina,"ROSSI, Blanca Araceli","",10,"","",""
Justicialista,"RUBÍN, Carlos Gustavo","",9,"",1,""
Unidos por una Nueva Argentina,"RUCCI, Claudia Mónica Observación: INCORPORADA EL 01/03/16.","",9,"","",""
Frente para la Victoria - PJ,"RUIZ ARAGÓN, José Arnaldo","",9,1,"",""
Movimiento Popular Neuquino,"SAN MARTÍN, Adrián","",8,1,1,""
Coalición Cívica,"SÁNCHEZ, Fernando","",10,"","",""
Frente para la Victoria - PJ,"SANTILLÁN, Walter Marcelo","",10,"","",""
Unión PRO,"SCAGLIA, Gisela","",10,"","",""
Unión PRO,"SCHMIDT-LIERMANN, Cornelia","",10,"","",""
"Federal Unidos por una NuevaArgentina","SCHWINDT, María Liliana","",10,"","",""
"Federal Unidos por una NuevaArgentina","SELVA, Carlos Américo","",9,"","",1
Unión Cívica Radical,"SEMHAN, María de las Mercedes","",10,"","",""
Frente para la Victoria - PJ,"SEMINARA, Eduardo Jorge","",10,"","",""
Justicialista,"SNOPEK, Guillermo","",9,"","",1
"Federal Unidos por una NuevaArgentina","SNOPEK, Alejandro","",10,"","",""
"Federal Unidos por una NuevaArgentina","SOLÁ, Felipe Carlos","",9,1,"",""
Frente para la Victoria - PJ,"SOLANAS, Julio Rodolfo","",10,"","",""
Frente para la Victoria - PJ,"SORAIRE, Mirta Alicia","",9,1,"",""
Unión PRO,"SORGENTE, Marcelo Adolfo Observación: INCORPORADO EL 01/03/16.","",9,"","",""
Frente para la Victoria - PJ,"SORIA, María Emilia","",7,3,"",""
"Fte. de Izquierda y de losTrabajadores","SOSA, Soledad","",9,1,"",""
Unión PRO,"SPINOZZI, Ricardo Adrián","",9,"",1,""
GEN,"STOLBIZER, Margarita Rosa","",8,1,1,""
Chubut Somos Todos,"TABOADA, Jorge","",9,1,"",""
Frente para la Victoria - PJ,"TAILHADE, Luis Rodolfo","",10,"","",""
Justicialista,"TENTOR, Héctor Olindo","",10,"","",""
Coalición Cívica,"TERADA, Alicia","",10,"","",""
Unión Cívica Radical,"TOLEDO, Susana María","",9,"","",1
Frente para la Victoria - PJ,"TOMAS, Héctor Daniel","",10,"","",""
Justicialista,"TOMASSI, Néstor Nicolás","",9,"",1,""
Unión PRO,"TONELLI, Pablo Gabriel","",10,"","",""
Unión PRO,"TORELLO, Pablo","",10,"","",""
Unión Cívica Radical,"TORROBA, Francisco Javier","",10,"","",""
Partido Socialista,"TROIANO, Gabriela Alejandra","",9,"","",1
"Federal Unidos por una NuevaArgentina","TUNDIS, Mirta","",9,"","",1
Unión PRO,"URROZ, Paula","",10,"","",""
Unión Cívica Radical,"VALDÉS, Gustavo Adolfo","",9,1,"",""
Unión Cívica Radical,"VEGA, María Clara del Valle Observación: INCORPORADA EL 01/03/16.","",9,"","",""
Unión PRO,"VILLALONGA, Juan Carlos","",10,"","",""
Movimiento Popular Neuquino,"VILLAR MOLINA, María Inés","",10,"","",""
Del Bicentenario,"VILLAVICENCIO, María Teresita","",9,1,"",""
Frente para la Victoria - PJ,"VOLNOVICH, Luana","",10,"","",""
Unión PRO,"WECHSLER, Marcelo Germán","",10,"","",""
Unión PRO,"WISKY, Sergio Javier","",10,"","",""
Unión PRO,"WOLFF, Waldo Ezequiel","",10,"","",""
"Libertad, Valores y Cambios","ZIEGLER, Alex Roberto","",10,"","",""
Justicialista,"ZILIOTTO, Sergio Raúl","",10,"","",""
